city,name,price,province
唐山," 北进门南花园1200平,四个全南套房,德国房东回国含泪急售",2600万,河北
唐山," 动迁小区,婚房装修,新房已定,50万出售,看房方便,位置",350万,河北
唐山, 翠湖嘉苑 满五免个税 精装2房 邻新天地华府天地,2020万,河北
唐山," 兴利苑,贱卖啦,快来捡皮夹子啊,只卖,216万,216万,",216万,河北
唐山," 板式精装两房,7/8号线100米,送车位上南花城看房随时",570万,河北
唐山, 嘉实上城名都 一室一厅 三期 精装全配 附带车位,200万,河北
唐山, 定好房急售+连体阳台+高区板房+接受10个月置换,900万,河北
唐山," 新城诱惑城,嘉定西站,中科院,满五少税,价格可谈",300万,河北
唐山, 南翔一手新房 精装修交付 湖景住宅 也可直接内定选房 免俑金,380万,河北
唐山," 国际华城精装4房送车位小区内环位置,景观房 看房提前约",1500万,河北
唐山," 金山一手房 精装小户型外地人可买,可贷款,是70年产权的!",75万,河北
唐山, 婚房装修(名人花苑)金三楼带车位 位置安静无杂吵 业主置换急售,270万,河北
唐山," 圣安德鲁斯庄园,精装修,以前的样板房,房东出国,诚意出售",2100万,河北
唐山," 小区核新位置,单价总价小区醉低的一套,随时看",6900万,河北
唐山," 四联排大边套,赠200平米大花园,小区中间位置,东边套,产证满",980万,河北
唐山, 首付15万起+嘉善高铁站旁+精装修带车位+上海9号线延伸段+特价房,75万,河北
唐山, 水语人家 闵瑞路站地铁口 电梯房高层 南北通风 户型正气 方,248万,河北
唐山, 电梯高区 婚房装修送家电 南北全明 业主和我定好新房着急出售,435万,河北
唐山, 新出笋盘 两房朝南 精装修 看中可谈 房东置换急售,500万,河北
唐山, 样板间+327平米5房+开发商样板间+南北通透,3299万,河北
唐山," 我的前半生陈俊生同户型,江景一览无遗,诚意出售",2900万,河北
唐山," 江苏路地铁口上盖,全屋空调+地暖,双卧室和厅均朝南。",940万,河北
唐山, 万科假日风景三开间朝南大三房 位置中间 看房有钥匙,760万,河北
唐山," 法院拍卖,带车位,税费各付,不限/购,不需要购房资格都可买",850万,河北
唐山, 外地人可买 精装复试公/寓 地鉄口 精装修租金5千 可网签过户急售,200万,河北
唐山," 一手动迁无税,紧靠六号线地铁南站500米,对.口竹园中.学!",320万,河北
唐山," 举头望明灯神房,现送产权车位送楼上一层面积,房东移民急抛。。",860万,河北
唐山," 换房急抛,钥匙看房,中区全南全明,看空中花园,闹中取静",1020万,河北
唐山," 美兰湖特惠新房210平648万,铂珏法式大平层,地铁",648万,河北
唐山, 总价低的三房无满五年户型好+总价低看房随时,880万,河北
唐山," 外地人可买 先抛售 小区精品 不限/购 南北通户型,全新精装",118万,河北
唐山," 商品房品质小区,配套成熟,改善型住宅,房东急售,随时看房",225万,河北
唐山, 福外+建平西 房东诚心出售 交通方便 随时看房 不靠马路,505万,河北
唐山," 一手动迁,有钥匙,地铁7号线",250万,河北
唐山, 金桥丶凯鑫苑丶轻轨丶随时看房丶诚心急售丶品质小区丶急售丶,570万,河北
唐山," 中粮前排,单价15万大平层5房,120平米大客厅,正观黄浦江",5800万,河北
唐山," 品质小区,房型正气,地铁龙之梦近,小区物业好,环境干净",560万,河北
唐山, 上海阳城 3室2厅 125平,690万,河北
唐山," 家,260买两房何必一房,买下直接住,装修都省了,91年",260万,河北
唐山," 近6/7号线,环境好,板式南北通,上海实验,接受置换",480万,河北
唐山, 旭辉城惊现三房户型正气附送产权车位品质小区视野开阔,210万,河北
唐山, (限·购客户必看楼盘)陆家嘴 不限·购 可贷款的 一线江景房,4555万,河北
唐山, 12号线 东兰路站 东兰小区 精装一房一厅 房东急售,235万,河北
唐山, 汇龙 3室2厅 117平,380万,河北
唐山, (急售)两房精装修 楼层好 南北通透 采光耀眼 周围配套好,420万,河北
唐山, 台湾老客户急售+新装修+百年虹桥路+国宾馆+送80平米花园+送车库,1260万,河北
